Model,Q Avg. Prices,Theo. Prices,PSO Avg. Prices,Theo. Prices ,Q Extra-profits Δ,PSO Extra-profits Δ,Q RPDI,PSO RPDI
LOGIT,1.67,1.91,1.69,1.91,-2.62,-2.36,-0.9,-0.81
HOTELLING,1.13,1.0,1.14,1.0,0.64,0.41,0.52,0.57
LINEAR,0.47,0.43,0.44,0.43,1.28,1.09,0.53,0.16
