Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.58,1.79,1.58,1.79,-1.61,-1.58,-0.69,-0.69
HOTELLING,1.06,1.0,1.07,1.0,0.27,0.24,0.25,0.26
LINEAR,0.43,0.43,0.43,0.43,0.55,0.61,0.05,0.08
