Model,Q Avg. Prices,Theo. Prices,DQN Avg. Prices,Q Δ,DQN Δ,Q RPDI,DQN RPDI
LOGIT,1.68,1.54,1.69,0.35,0.26,0.35,0.39
HOTELLING,1.12,1.0,1.13,0.48,0.47,0.49,0.53
LINEAR,0.46,0.43,0.47,0.12,0.08,0.49,0.51
