Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.73,1.79,1.74,1.79,-1.51,-1.6,-0.22,-0.16
HOTELLING,1.14,1.0,1.12,1.0,0.45,0.48,0.55,0.49
LINEAR,0.46,0.43,0.47,0.43,0.7,0.65,0.47,0.59
