Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.69,1.91,1.69,1.91,-2.9,-2.9,-0.82,-0.81
HOTELLING,1.13,1.0,1.13,1.0,0.61,0.37,0.51,0.51
LINEAR,0.46,0.43,0.46,0.43,1.22,1.16,0.51,0.51
