Model,Q Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,Q Extra-profits Δ,DDPG Extra-profits Δ,Q RPDI,DDPG RPDI
LOGIT,1.68,1.8,1.75,1.8,-0.92,-2.57,-0.44,-0.18
HOTELLING,1.13,1.0,1.14,1.0,0.53,0.44,0.51,0.56
LINEAR,0.46,0.43,0.47,0.43,0.71,0.72,0.5,0.65
