Model,PSO Avg. Prices,Theo. Prices,DQN Avg. Prices,Theo. Prices ,PSO Extra-profits Δ,DQN Extra-profits Δ,PSO RPDI,DQN RPDI
LOGIT,1.69,1.47,1.68,1.47,0.62,0.5,0.48,0.46
HOTELLING,1.14,1.0,1.12,1.0,0.48,0.54,0.57,0.49
LINEAR,0.44,0.43,0.47,0.43,0.08,-0.01,0.16,0.51
