Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.8,1.47,1.83,1.47,0.64,0.48,0.71,0.8
HOTELLING,1.1,1.0,1.11,1.0,0.38,0.32,0.39,0.44
LINEAR,0.47,0.43,0.46,0.43,0.02,0.03,0.54,0.5
