Model,DQN Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,DQN Extra-profits Δ,DDPG Extra-profits Δ,DQN RPDI,DDPG RPDI
LOGIT,1.68,1.47,1.84,1.47,1.01,0.03,0.47,0.81
HOTELLING,1.12,1.0,1.12,1.0,0.45,0.42,0.49,0.48
LINEAR,0.47,0.43,0.46,0.43,0.02,0.04,0.51,0.39
