Model,PSO Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,PSO Extra-profits Δ,DDPG Extra-profits Δ,PSO RPDI,DDPG RPDI
LOGIT,1.67,1.79,1.55,1.79,-2.22,-1.73,-0.41,-0.81
HOTELLING,1.12,1.0,1.12,1.0,0.44,0.45,0.49,0.46
LINEAR,0.44,0.43,0.46,0.43,0.65,0.66,0.14,0.51
