Model,Q Avg. Prices,Theo. Prices,PSO Avg. Prices,Theo. Prices ,Q Extra-profits Δ,PSO Extra-profits Δ,Q RPDI,PSO RPDI
LOGIT,1.66,1.54,1.69,1.54,0.38,0.32,0.29,0.37
HOTELLING,1.12,1.0,1.14,1.0,0.53,0.47,0.47,0.57
LINEAR,0.46,0.43,0.44,0.43,0.01,0.16,0.47,0.16
