Model,Q Avg. Prices,Theo. Prices,DQN Avg. Prices,Q Δ,DQN Δ,Q RPDI,DQN RPDI
LOGIT,1.69,1.9,1.7,-2.47,-2.57,-0.74,-0.72
HOTELLING,1.13,1.0,1.14,0.44,0.57,0.52,0.54
LINEAR,0.47,0.43,0.47,1.34,1.12,0.51,0.53
