Model,Q Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,Q Extra-profits Δ,DDPG Extra-profits Δ,Q RPDI,DDPG RPDI
LOGIT,1.68,1.79,1.72,1.79,-1.0,-2.15,-0.38,-0.23
HOTELLING,1.12,1.0,1.14,1.0,0.5,0.46,0.5,0.55
LINEAR,0.46,0.43,0.47,0.43,0.73,0.71,0.5,0.57
