Model,PSO Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,PSO Extra-profits Δ,DDPG Extra-profits Δ,PSO RPDI,DDPG RPDI
LOGIT,1.67,1.91,1.61,1.91,-3.05,-3.88,-0.86,-1.08
HOTELLING,1.12,1.0,1.12,1.0,0.56,0.36,0.49,0.48
LINEAR,0.44,0.43,0.47,0.43,1.11,1.06,0.14,0.59
