Model,DQN Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,DQN Extra-profits Δ,DDPG Extra-profits Δ,DQN RPDI,DDPG RPDI
LOGIT,1.68,1.47,1.77,1.47,0.76,0.12,0.47,0.66
HOTELLING,1.12,1.0,1.13,1.0,0.48,0.41,0.49,0.51
LINEAR,0.47,0.43,0.47,0.43,0.05,0.02,0.51,0.59
