Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.69,1.79,1.69,1.79,-1.24,-1.25,-0.35,-0.34
HOTELLING,1.13,1.0,1.13,1.0,0.5,0.47,0.51,0.52
LINEAR,0.47,0.43,0.46,0.43,0.73,0.67,0.51,0.51
