Model,PSO Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,PSO Extra-profits Δ,DDPG Extra-profits Δ,PSO RPDI,DDPG RPDI
LOGIT,1.67,1.8,1.59,1.8,-2.28,-2.24,-0.44,-0.72
HOTELLING,1.13,1.0,1.15,1.0,0.57,0.47,0.51,0.6
LINEAR,0.44,0.43,0.46,0.43,0.6,0.65,0.13,0.43
