Model,PSO Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,PSO Extra-profits Δ,DDPG Extra-profits Δ,PSO RPDI,DDPG RPDI
LOGIT,1.67,1.53,1.62,1.53,0.22,0.0,0.32,0.22
HOTELLING,1.13,1.0,1.12,1.0,0.45,0.44,0.52,0.46
LINEAR,0.44,0.43,0.46,0.43,0.05,0.05,0.15,0.46
