Model,PSO Avg. Prices,Theo. Prices,DQN Avg. Prices,Theo. Prices ,PSO Extra-profits Δ,DQN Extra-profits Δ,PSO RPDI,DQN RPDI
LOGIT,1.69,1.9,1.69,1.9,-1.57,-2.58,-0.74,-0.74
HOTELLING,1.14,1.0,1.13,1.0,0.6,0.47,0.57,0.53
LINEAR,0.44,0.43,0.47,0.43,1.19,1.13,0.16,0.53
