Model,Q Avg. Prices,Theo. Prices,DQN Avg. Prices,Q Δ,DQN Δ,Q RPDI,DQN RPDI
LOGIT,1.69,1.91,1.7,-2.55,-2.93,-0.81,-0.76
HOTELLING,1.13,1.0,1.14,0.51,0.49,0.51,0.54
LINEAR,0.46,0.43,0.47,1.18,1.21,0.51,0.53
