Model,PSO Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,PSO Extra-profits Δ,DDPG Extra-profits Δ,PSO RPDI,DDPG RPDI
LOGIT,1.67,1.47,1.64,1.47,0.42,0.21,0.44,0.37
HOTELLING,1.13,1.0,1.11,1.0,0.43,0.45,0.53,0.44
LINEAR,0.44,0.43,0.46,0.43,0.06,-0.03,0.16,0.42
