Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.69,1.91,1.69,1.91,-2.88,-2.95,-0.83,-0.83
HOTELLING,1.13,1.0,1.13,1.0,0.41,0.57,0.51,0.52
LINEAR,0.46,0.43,0.47,0.43,1.2,1.21,0.51,0.51
