Model,Q Avg. Prices,Theo. Prices,PSO Avg. Prices,Theo. Prices ,Q Extra-profits Δ,PSO Extra-profits Δ,Q RPDI,PSO RPDI
LOGIT,1.66,1.8,1.69,1.8,-1.22,-1.19,-0.48,-0.39
HOTELLING,1.13,1.0,1.14,1.0,0.53,0.52,0.51,0.57
LINEAR,0.47,0.43,0.44,0.43,0.64,0.66,0.51,0.16
