Model,DQN Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,DQN Extra-profits Δ,DDPG Extra-profits Δ,DQN RPDI,DDPG RPDI
LOGIT,1.69,1.9,1.68,1.9,-2.79,-3.52,-0.79,-0.83
HOTELLING,1.13,1.0,1.16,1.0,0.58,0.5,0.53,0.64
LINEAR,0.47,0.43,0.46,0.43,1.11,1.29,0.52,0.45
