Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.7,1.92,1.7,1.92,-2.72,-2.89,-0.78,-0.78
HOTELLING,1.14,1.0,1.14,1.0,0.51,0.52,0.55,0.54
LINEAR,0.47,0.43,0.47,0.43,1.22,1.14,0.52,0.53
