Model,PSO Avg. Prices,Theo. Prices,DQN Avg. Prices,Theo. Prices ,PSO Extra-profits Δ,DQN Extra-profits Δ,PSO RPDI,DQN RPDI
LOGIT,1.69,1.54,1.68,1.54,0.5,0.31,0.37,0.36
HOTELLING,1.14,1.0,1.13,1.0,0.47,0.56,0.57,0.5
LINEAR,0.44,0.43,0.47,0.43,0.13,-0.04,0.16,0.51
