Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.58,1.79,1.58,1.79,-1.86,-1.77,-0.73,-0.75
HOTELLING,1.06,1.0,1.06,1.0,0.22,0.24,0.23,0.24
LINEAR,0.43,0.43,0.43,0.43,0.59,0.6,0.07,0.08
