Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.85,1.54,1.82,1.54,0.35,0.51,0.76,0.69
HOTELLING,1.11,1.0,1.13,1.0,0.44,0.35,0.46,0.51
LINEAR,0.46,0.43,0.46,0.43,0.05,0.01,0.46,0.49
