Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.79,1.47,1.77,1.47,0.41,0.51,0.7,0.66
HOTELLING,1.12,1.0,1.09,1.0,0.25,0.42,0.48,0.35
LINEAR,0.46,0.43,0.47,0.43,0.05,0.0,0.42,0.61
