Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.58,1.54,1.58,1.54,0.14,0.15,0.1,0.09
HOTELLING,1.06,1.0,1.06,1.0,0.25,0.23,0.25,0.24
LINEAR,0.43,0.43,0.43,0.43,0.0,0.05,0.05,0.05
