Model,PSO Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,PSO Extra-profits Δ,DDPG Extra-profits Δ,PSO RPDI,DDPG RPDI
LOGIT,1.68,1.47,1.6,1.47,0.25,0.26,0.45,0.28
HOTELLING,1.13,1.0,1.15,1.0,0.6,0.44,0.54,0.59
LINEAR,0.44,0.43,0.46,0.43,0.06,-0.03,0.16,0.41
