Model,DQN Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,DQN Extra-profits Δ,DDPG Extra-profits Δ,DQN RPDI,DDPG RPDI
LOGIT,1.69,1.47,1.83,1.47,0.97,0.05,0.47,0.79
HOTELLING,1.12,1.0,1.16,1.0,0.61,0.4,0.49,0.63
LINEAR,0.47,0.43,0.47,0.43,0.06,0.02,0.51,0.64
