Model,Q Avg. Prices,Theo. Prices,PSO Avg. Prices,Theo. Prices ,Q Extra-profits Δ,PSO Extra-profits Δ,Q RPDI,PSO RPDI
LOGIT,1.66,1.54,1.69,1.54,0.39,0.39,0.3,0.37
HOTELLING,1.11,1.0,1.14,1.0,0.52,0.45,0.45,0.57
LINEAR,0.46,0.43,0.44,0.43,0.0,0.03,0.49,0.16
